country,2022_population,2020_population,density_sq_km,growth_rate ,world_%,rank
Afghanistan,41382633,38972230,63/sq_km,0.0257,0.0052,36
Albania,2839785,2866849,99/sq_km,-0.0043,0.0004,138
Algeria,45069761,43451666,19/sq_km,0.0164,0.0056,34
Andorra,79993,77700,171/sq_km,0.01,0,203
Angola,35838707,33428486,29/sq_km,0.0315,0.0045,42
Anguilla,15857,15585,174/sq_km,0.0066,0,224
Argentina,45566112,45036032,16/sq_km,0.0052,0.0057,33
Armenia,2779116,2805608,93/sq_km,-0.0038,0.0003,140
Aruba,106360,106585,591/sq_km,-0.0009,0,198
Australia,26238110,25670051,3/sq_km,0.0099,0.0033,55
Austria,8944182,8907777,107/sq_km,0.002,0.0011,99
Azerbaijan,10371262,10284951,120/sq_km,0.0044,0.0013,91
Bahamas,410660,406471,29/sq_km,0.0051,0.0001,176
Bahrain,1475276,1477469,"1,924/sq_km",0.0061,0.0002,154
Bangladesh,171597810,167420951,"1,160/sq_km",0.0108,0.0215,8
Barbados,281720,280693,655/sq_km,0.0015,0,186
Belarus,9528022,9633740,46/sq_km,-0.0045,0.0012,96
Belgium,11662947,11561717,382/sq_km,0.0038,0.0015,81
Belize,406540,394921,18/sq_km,0.0131,0.0001,177
Benin,13435456,12643123,119/sq_km,0.0274,0.0017,77
Bermuda,64099,64031,"1,189/sq_km",0,0,206
Bhutan,783554,772506,20/sq_km,0.0064,0.0001,165
Bolivia,12258939,11936162,11/sq_km,0.012,0.0015,80
Botswana,2640778,2546402,5/sq_km,0.0162,0.0003,144
Brazil,215539801,213196304,25/sq_km,0.0046,0.027,7
Brunei,449847,441725,78/sq_km,0.0081,0.0001,175
Bulgaria,6758029,6979175,61/sq_km,-0.0151,0.0009,108
Burkina Faso,22806061,21522626,83/sq_km,0.0259,0.0028,58
Burundi,12969970,12220227,463/sq_km,0.027,0.0016,78
Cambodia,16808250,16396860,93/sq_km,0.0108,0.0021,73
Cameroon,28082256,26491087,59/sq_km,0.0263,0.0035,53
Canada,38530071,37888705,4/sq_km,0.0078,0.0048,39
Cape Verde,594417,582640,147/sq_km,0.0089,0.0001,171
Cayman Islands,68875,67311,260/sq_km,0.0084,0,205
Central African Republic,5615664,5343020,9/sq_km,0.0224,0.0007,117
Chad,17850204,16644701,14/sq_km,0.0316,0.0022,69
Chile,19608974,19300315,26/sq_km,0.0057,0.0025,65
