country,population,density_sq_km,growth_rate(compared to 2021) ,world_%,rank
Afghanistan,41382633,63/sq_km,0.0257,0.0052,36
Albania,2839785,99/sq_km,-0.0043,0.0004,138
Algeria,45069761,19/sq_km,0.0164,0.0056,34
Andorra,79993,171/sq_km,0.01,0,203
Angola,35838707,29/sq_km,0.0315,0.0045,42
Anguilla,15857,174/sq_km,0.0066,0,224
Argentina,45566112,16/sq_km,0.0052,0.0057,33
Armenia,2779116,93/sq_km,-0.0038,0.0003,140
Aruba,106360,591/sq_km,-0.0009,0,198
Australia,26238110,3/sq_km,0.0099,0.0033,55
Austria,8944182,107/sq_km,0.002,0.0011,99
Azerbaijan,10371262,120/sq_km,0.0044,0.0013,91
Bahamas,410660,29/sq_km,0.0051,0.0001,176
Bahrain,1475276,"1,924/sq_km",0.0061,0.0002,154
Bangladesh,171597810,"1,160/sq_km",0.0108,0.0215,8
Barbados,281720,655/sq_km,0.0015,0,186
Belarus,9528022,46/sq_km,-0.0045,0.0012,96
Belgium,11662947,382/sq_km,0.0038,0.0015,81
Belize,406540,18/sq_km,0.0131,0.0001,177
Benin,13435456,119/sq_km,0.0274,0.0017,77
Bermuda,64099,"1,189/sq_km",0,0,206
Bhutan,783554,20/sq_km,0.0064,0.0001,165
Bolivia,12258939,11/sq_km,0.012,0.0015,80
Botswana,2640778,5/sq_km,0.0162,0.0003,144
Brazil,215539801,25/sq_km,0.0046,0.027,7
Brunei,449847,78/sq_km,0.0081,0.0001,175
Bulgaria,6758029,61/sq_km,-0.0151,0.0009,108
Burkina Faso,22806061,83/sq_km,0.0259,0.0028,58
Burundi,12969970,463/sq_km,0.027,0.0016,78
Cambodia,16808250,93/sq_km,0.0108,0.0021,73
Cameroon,28082256,59/sq_km,0.0263,0.0035,53
Canada,38530071,4/sq_km,0.0078,0.0048,39
Cape Verde,594417,147/sq_km,0.0089,0.0001,171
Cayman Islands,68875,260/sq_km,0.0084,0,205
Central African Republic,5615664,9/sq_km,0.0224,0.0007,117
Chad,17850204,14/sq_km,0.0316,0.0022,69
Chile,19608974,26/sq_km,0.0057,0.0025,65
China,1425869669,147/sq_km,0,0.1788,1
Colombia,51913418,45/sq_km,0.0069,0.0065,28
Comoros,840240,449/sq_km,0.0184,0.0001,163
Costa Rica,5187254,101/sq_km,0.0052,0.0006,124
Croatia,4025370,71/sq_km,-0.0073,0.0005,130
Curacao,191332,431/sq_km,0.0043,0,189
Denmark,5888939,136/sq_km,0.0048,0.0007,115
Djibouti,1124400,48/sq_km,0.0138,0.0001,160
Ecuador,18045297,65/sq_km,0.0114,0.0023,67
Egypt,111387000,111/sq_km,0.0158,0.0139,14
El Salvador,6342225,301/sq_km,0.0035,0.0008,112
Equatorial Guinea,1684038,60/sq_km,0.0247,0.0002,152
Estonia,1325386,29/sq_km,-0.002,0.0002,156
Ethiopia,124100764,112/sq_km,0.0257,0.0155,12
Fiji,931288,51/sq_km,0.0056,0.0001,162
Finland,5541844,16/sq_km,0.0009,0.0007,118
France,64657146,117/sq_km,0.0015,0.0081,23
French Polynesia,306955,74/sq_km,0.0074,0,183
Gabon,2399982,9/sq_km,0.0204,0.0003,146
Gambia,2721293,253/sq_km,0.025,0.0003,142
Georgia,3740243,54/sq_km,-0.0036,0.0005,131
Germany,83343468,233/sq_km,-0.0005,0.0105,19
Gibraltar,32649,"5,442/sq_km",-0.0006,0,219
Greece,10373559,79/sq_km,-0.0058,0.0013,90
Greenland,56551,0/sq_km,0.004,0,208
Grenada,125523,365/sq_km,0.0066,0,193
Guatemala,17899955,164/sq_km,0.0134,0.0022,68
Guinea,13935339,56/sq_km,0.0242,0.0017,75
Guyana,809656,4/sq_km,0.0052,0.0001,164
Haiti,11616951,417/sq_km,0.012,0.0015,82
Honduras,10468957,93/sq_km,0.015,0.0013,89
Hong Kong,7488780,"6,783/sq_km",-0.0008,0.0009,104
Hungary,10096395,107/sq_km,0.0265,0.0012,94
Iceland,373491,4/sq_km,0.0069,0,179
India,1419419807,431/sq_km,0.0068,0.1777,2
Indonesia,275911001,145/sq_km,0.0064,0.0345,4
Iran,88686589,54/sq_km,0.0071,0.0111,17
Iraq,44727582,102/sq_km,0.0221,0.0056,35
Ireland,5031055,71/sq_km,0.0073,0.0006,125
Israel,9069503,435/sq_km,0.0155,0.0011,98
Italy,58999517,196/sq_km,-0.0034,0.0074,25
Jamaica,2826616,257/sq_km,-0.0001,0.0004,139
Japan,123800541,328/sq_km,-0.0053,0.0155,11
Jordan,11299564,126/sq_km,0.0123,0.0014,83
Kazakhstan,19445423,7/sq_km,0.0105,0.0024,66
Kenya,54271712,93/sq_km,0.0193,0.0068,27
Kiribati,131824,162/sq_km,0.0183,0,192
Kuwait,4278764,240/sq_km,0.0044,0.0005,129
Kyrgyzstan,6654969,33/sq_km,0.0158,0.0008,110
Laos,7553821,32/sq_km,0.0141,0.0009,103
Latvia,1845832,29/sq_km,-0.0124,0.0002,151
Lebanon,5459982,525/sq_km,-0.0184,0.0007,119
Lesotho,2311151,76/sq_km,0.0107,0.0003,147
Liberia,5328972,48/sq_km,0.021,0.0007,121
Libya,6829840,4/sq_km,0.0114,0.0009,107
Liechtenstein,39327,246/sq_km,0.0074,0,216
Lithuania,2741432,42/sq_km,-0.0131,0.0003,141
Luxembourg,649290,250/sq_km,0.0129,0.0001,168
Madagascar,29774531,50/sq_km,0.0241,0.0037,50
Malawi,20525358,172/sq_km,0.0259,0.0026,62
Malaysia,34024702,103/sq_km,0.0109,0.0043,45
Maldives,523280,"1,746/sq_km",0.0045,0.0001,174
Mali,22753279,18/sq_km,0.0314,0.0028,59
Malta,533624,"1,688/sq_km",0.0124,0.0001,173
Mauritania,4765050,5/sq_km,0.0263,0.0006,126
Mauritius,1299638,637/sq_km,0.0004,0.0002,157
Mexico,127726286,65/sq_km,0.0063,0.016,10
Moldova,3376976,97/sq_km,0.0691,0.0004,135
Mongolia,3409947,2/sq_km,0.0151,0.0004,134
Montenegro,626913,45/sq_km,-0.0012,0.0001,169
Montserrat,4390,43/sq_km,-0.0061,0,230
Morocco,37547495,84/sq_km,0.0103,0.0047,40
Mozambique,33178322,41/sq_km,0.0278,0.0041,48
Myanmar,54272634,80/sq_km,0.0071,0.0068,26
Namibia,2575212,3/sq_km,0.0146,0.0003,145
Nauru,12753,603/sq_km,0.0125,0,225
Nepal,30628819,208/sq_km,0.0171,0.0038,49
Netherlands,17576779,420/sq_km,0.0036,0.0022,71
New Caledonia,290626,16/sq_km,0.0075,0,185
New Zealand,5195348,19/sq_km,0.0108,0.0007,123
Nicaragua,6971217,53/sq_km,0.0143,0.0009,106
Niger,26433942,21/sq_km,0.0378,0.0033,54
Nigeria,219750671,237/sq_km,0.0241,0.0274,6
Niue,1934,7/sq_km,-0.0015,0,232
North Macedonia,2091317,81/sq_km,-0.0046,0.0003,150
Norway,5443618,17/sq_km,0.0058,0.0007,120
Oman,4591599,15/sq_km,0.0123,0.0006,127
Pakistan,236890187,267/sq_km,0.0191,0.0296,5
Palestine,5277884,844/sq_km,0.0227,0.0007,122
Panama,4422191,58/sq_km,0.0132,0.0006,128
Papua New Guinea,10186240,22/sq_km,0.0194,0.0013,93
Paraguay,6798158,17/sq_km,0.0115,0.0009,109
Peru,34113413,26/sq_km,0.0099,0.0043,44
Philippines,115972222,338/sq_km,0.0147,0.0145,13
Poland,40607319,127/sq_km,0.0404,0.005,37
Portugal,10265539,112/sq_km,-0.0019,0.0013,92
Qatar,2700110,233/sq_km,0.0026,0.0003,143
Romania,19842795,82/sq_km,0.0171,0.0025,64
Russia,144704438,8/sq_km,-0.0027,0.0181,9
Saint Lucia,179942,292/sq_km,0.0011,0,190
Samoa,223143,78/sq_km,0.0165,0,188
San Marino,33660,552/sq_km,-0.0025,0,218
Saudi Arabia,36534863,17/sq_km,0.0128,0.0046,41
Senegal,17418146,88/sq_km,0.0261,0.0022,72
Serbia,7202767,82/sq_km,-0.0103,0.0009,105
Seychelles,107118,237/sq_km,0.0061,0,196
Sierra Leone,8648409,120/sq_km,0.022,0.0011,102
Singapore,5984903,"8,416/sq_km",0.0058,0.0007,113
Slovakia,5737880,115/sq_km,0.0359,0.0007,116
Slovenia,2119844,105/sq_km,0.0002,0.0003,148
Solomon Islands,727993,25/sq_km,0.0232,0.0001,166
Somalia,17721357,28/sq_km,0.0312,0.0022,70
South Africa,60008262,49/sq_km,0.0084,0.0075,24
South Korea,51809639,517/sq_km,-0.0003,0.0065,29
South Sudan,10951797,18/sq_km,0.0153,0.0014,86
Spain,47550599,94/sq_km,0.0015,0.006,30
Sri Lanka,21847106,333/sq_km,0.0027,0.0027,61
Sudan,47157823,25/sq_km,0.0267,0.0059,32
Suriname,619054,4/sq_km,0.0082,0.0001,170
Sweden,10564056,23/sq_km,0.0079,0.0013,87
Switzerland,8753744,212/sq_km,0.0056,0.0011,101
Syria,22373109,119/sq_km,0.0376,0.0028,60
Taiwan,23900664,660/sq_km,0.0014,0.003,57
Tajikistan,9997338,70/sq_km,0.0208,0.0012,95
Tanzania,65941225,69/sq_km,0.03,0.0082,22
Thailand,71723321,140/sq_km,0.0013,0.009,20
Togo,8895955,156/sq_km,0.0236,0.0011,100
Tunisia,12378096,76/sq_km,0.0076,0.0015,79
Turkey,85456717,109/sq_km,0.0067,0.0107,18
Uganda,47557635,196/sq_km,0.0304,0.0059,31
United Arab Emirates,9458713,113/sq_km,0.0081,0.0012,97
United Kingdom,67562025,278/sq_km,0.0034,0.0085,21
United States,338655730,36/sq_km,0.0038,0.0424,3
Uruguay,3422879,19/sq_km,-0.001,0.0004,133
Uzbekistan,34754794,77/sq_km,0.016,0.0043,43
